path,pred_label,confidence,p(Portraits),p(Protests),p(Casualities),p(Posts)
/content/drive/MyDrive/Data/Predict/453315822_1610750902832809_620957193816885057_n.jpg,notlabeled,0.3833,0.2705,0.1642,0.1821,0.3833
/content/drive/MyDrive/Data/Predict/453731936_17860897872206856_564056432436687544_n.jpg,notlabeled,0.4669,0.4669,0.1397,0.1637,0.2297
/content/drive/MyDrive/Data/Predict/454031975_1058896965855891_6771723729143684750_n.heic,notlabeled,0.5315,0.0903,0.1704,0.2078,0.5315
/content/drive/MyDrive/Data/Predict/453885419_1034655188217933_59657293429222511_n.jpg,Protests,0.8585,0.0521,0.8585,0.0532,0.0362
/content/drive/MyDrive/Data/Predict/453873639_18030212762173713_8502907255886797619_n.jpg,notlabeled,0.3563,0.3563,0.0898,0.2068,0.3471
/content/drive/MyDrive/Data/Predict/453657933_364685913164965_436696130921816565_n.jpg,notlabeled,0.7424,0.7424,0.0645,0.0731,0.12
/content/drive/MyDrive/Data/Predict/453374013_1642606339805903_9001889615511523556_n.webp,notlabeled,0.7103,0.0571,0.7103,0.1595,0.0731
/content/drive/MyDrive/Data/Predict/454192000_17896379331042107_102367705319845617_n.jpg,notlabeled,0.5805,0.5805,0.1205,0.0924,0.2066
/content/drive/MyDrive/Data/Predict/453796511_1429902477675502_4931244582070046743_n.webp,notlabeled,0.5298,0.2114,0.5298,0.1282,0.1307
/content/drive/MyDrive/Data/Predict/454075657_997258378528459_5845369096545776076_n.webp,notlabeled,0.5614,0.1212,0.1668,0.1506,0.5614
/content/drive/MyDrive/Data/Predict/454110712_1165791494748378_6462882239535247265_n.jpg,notlabeled,0.6062,0.0646,0.2034,0.1259,0.6062
/content/drive/MyDrive/Data/Predict/453897690_3669314306650363_4882931527558698154_n.webp,notlabeled,0.5616,0.119,0.1676,0.1517,0.5616
/content/drive/MyDrive/Data/Predict/454028263_526709533120671_559540482856596464_n.jpg,notlabeled,0.4503,0.4503,0.0899,0.3088,0.1509
/content/drive/MyDrive/Data/Predict/454025454_497786449439597_5967201912042441681_n.jpg,notlabeled,0.6996,0.6996,0.066,0.0919,0.1425
/content/drive/MyDrive/Data/Predict/454032347_837370668348011_6871673044410771107_n.jpg,notlabeled,0.6681,0.1097,0.6681,0.1052,0.117
/content/drive/MyDrive/Data/Predict/471572687_18471108415001683_621147196476983151_n.jpg,notlabeled,0.3978,0.1534,0.125,0.3238,0.3978
/content/drive/MyDrive/Data/Predict/467996703_17880255705187556_7638542973294590504_n.jpg,notlabeled,0.3948,0.1455,0.1065,0.3948,0.3533
